hanzi,pinyin,pinyinToneless,tone
沾,zhān,zhan,1
芬,fēn,fen,1
梇,lòng,long,4
悙,hēng,heng,1
瓽,dàng,dang,4
举,jǔ,ju,3
啸,xiào,xiao,4
圀,guó,guo,2
桶,tǒng,tong,3
䝸,jì,ji,4
挠,náo,nao,2
栳,lǎo,lao,3
栊,lóng,long,2
祰,gào,gao,4
鲮,líng,ling,2
㪭,lú,lu,2
熮,liáo,liao,2
䊳,mí,mi,2
椸,yí,yi,2
鋯,gào,gao,4
昉,fǎng,fang,3
耻,chǐ,chi,3
䫜,䫜,䫜,
涏,tǐng,ting,3
坴,lìu,liu,4
扢,gǔ,gu,3
摊,tān,tan,1
肙,yuān,yuan,1
㟩,mín,min,2
㤙,㤙,㤙,
刪,shān,shan,1
椨,椨,椨,
桅,wéi,wei,2
芪,qí,qi,2
籕,zhòu,zhou,4
剞,jī,ji,1
葠,shēn,shen,1
䨾,fěi,fei,3
隰,xí,xi,2
泖,mǎo,mao,3
䶳,yuè,yue,4
焨,fèng,feng,4
莶,liǎn,lian,3
䗜,líu,liu,2
哘,哘,哘,
赐,sì,si,4
讷,nè,ne,4
堺,jiè,jie,4
鉸,jiǎo,jiao,3
婤,zhōu,zhou,1
宙,zhòu,zhou,4
湶,quán,quan,2
㩙,㩙,㩙,
毂,gǔ,gu,3
㣏,jìng,jing,4
翯,hè,he,4
儂,nóng,nong,2
族,zú,zu,2
蝂,bǎn,ban,3
崔,cūi,cui,1
崛,jué,jue,2
厤,lì,li,4
䳛,yàn,yan,4
励,lì,li,4
壔,dǎo,dao,3
脸,liǎn,lian,3
䈓,gé,ge,2
愹,yǒng,yong,3
䣸,rǎn,ran,3
㺘,zhàn,zhan,4
乮,乮,乮,
矐,huò,huo,4
䈭,huái,huai,2
讪,shàn,shan,4
晖,hūi,hui,1
坋,fèn,fen,4
䢵,yún,yun,2
懃,qín,qin,2
槝,槝,槝,
钃,shǔ,shu,3
鴁,yāo,yao,1
刃,rèn,ren,4
㳂,yán,yan,2
剹,lù,lu,4
簡,jiǎn,jian,3
虢,guó,guo,2
廩,lǐn,lin,3
鸚,yīng,ying,1
閷,shài,shai,4
㣉,㣉,㣉,
䰡,chì,chi,4
贊,zàn,zan,4
叼,diāo,diao,1
圑,fù,fu,4
虼,gè,ge,4
懶,lǎn,lan,3
逦,lǐ,li,3
螴,chén,chen,2
蟂,jiāo,jiao,1
毡,zhān,zhan,1
鎠,gāng,gang,1
锇,tiě,tie,3
䋷,líu,liu,2
㣫,zhǒng,zhong,3
魧,háng,hang,2
褩,bān,ban,1
楉,ruò,ruo,4
憹,náo,nao,2
儆,jǐng,jing,3
撎,yì,yi,4
緋,fēi,fei,1
懘,chì,chi,4
缉,qì,qi,4
澅,huà,hua,4
跅,tuò,tuo,4
濉,sūi,sui,1
侥,jiǎo,jiao,3
欄,lán,lan,2
㟪,wěi,wei,3
丘,qīu,qiu,1
堸,féng,feng,2
膱,zhí,zhi,2
䇐,lì,li,4
壤,rǎng,rang,3
啫,zhě,zhe,3
㱉,yè,ye,4
仈,bā,ba,1
簼,lóng,long,2
燥,zào,zao,4
䢍,fǎng,fang,3
馚,fén,fen,2
绩,jī,ji,1
噏,xī,xi,1
渳,mǐ,mi,3
揟,xū,xu,1
䦃,䦃,䦃,
歖,xī,xi,1
硤,xiá,xia,2
庉,dùn,dun,4
唐,táng,tang,2
銠,lǎo,lao,3
痨,láo,lao,2
榯,shí,shi,2
朦,méng,meng,2
稆,lv̌,lv,3
㐛,㐛,㐛,
騼,lù,lu,4
伇,yì,yi,4
拤,拤,拤,
豨,xī,xi,1
䂿,tà,ta,4
乩,jī,ji,1
鯴,shī,shi,1
㳄,xián,xian,2
䲡,䲡,䲡,
㜹,qú,qu,2
寽,lv̀,lv,4
拵,cún,cun,2
撩,liāo,liao,1
栎,lì,li,4
檔,dàng,dang,4
愆,qiān,qian,1
緽,chēng,cheng,1
蔣,jiǎng,jiang,3
鰯,ruò,ruo,4
懫,zhí,zhi,2
蕣,shùn,shun,4
耱,mò,mo,4
蟑,zhāng,zhang,1
歎,tàn,tan,4
爽,shuǎng,shuang,3
圧,yā,ya,1
苝,pèi,pei,4
么,yāo,yao,1
筫,zhì,zhi,4
繬,sè,se,4
蝣,yóu,you,2
