hanzi,trad,simp,pinyin,toneless,tone,zhuyin
謊,謊,谎,huǎng,huang,3,ㄏㄨㄤ
㮮,㮮,㮮,jié,jie,2,ㄐㄧㄝ
漇,漇,漇,xǐ,xi,3,ㄒㄧ
㠌,㠌,㠌,㠌,㠌,,
䜾,䜾,䜾,䜾,䜾,,
䮺,䮺,䮺,jì,ji,4,ㄐㄧ
䌠,䌠,䌠,qìng,qing,4,ㄑㄧㄥ
隻,隻,只,zhī,zhi,1,ㄓ
爭,爭,争,zhēng,zheng,1,ㄓㄥ
㑭,㑭,㑭,㑭,㑭,,
㵂,㵂,㵂,chuǎng,chuang,3,ㄔㄨㄤ
䕍,䕍,䕍,yì,yi,4,ㄧ
䨘,䨘,䨘,xiàn,xian,4,ㄒㄧㄢ
㳯,㳯,㳯,㳯,㳯,,
鱙,鱙,鱙,miáo,miao,2,ㄇㄧㄠ
銅,銅,铜,tóng,tong,2,ㄊㄨㄥ
愱,愱,愱,jí,ji,2,ㄐㄧ
堄,堄,堄,nì,ni,4,ㄋㄧ
䅀,䅀,䅀,liè,lie,4,ㄌㄧㄝ
至,至,至,zhì,zhi,4,ㄓ
䈉,䈉,䈉,shà,sha,4,ㄕㄚ
君,君,君,jūn,jun,1,ㄐㄩㄣ
鱅,鱅,鳙,yóng,yong,2,ㄩㄥ
漓,灕,漓,lí,li,2,ㄌㄧ
亜,亜,亜,yà,ya,4,ㄧㄚ
詉,詉,詉,náo,nao,2,ㄋㄠ
覽,覽,览,lǎn,lan,3,ㄌㄢ
嬼,嬼,嬼,lǐu,liu,3,ㄌㄧㄡ
謣,謣,謣,yú,yu,2,ㄩ
矓,矓,眬,lóng,long,2,ㄌㄨㄥ
鹹,鹹,咸,xián,xian,2,ㄒㄧㄢ
㫩,㫩,㫩,㫩,㫩,,
巏,巏,巏,quán,quan,2,ㄑㄩㄢ
潰,潰,溃,kùi,kui,4,ㄎㄨㄟ
䞪,䞪,䞪,jiàng,jiang,4,ㄐㄧㄤ
竬,竬,竬,qǔ,qu,3,ㄑㄩ
喜,喜,喜,xǐ,xi,3,ㄒㄧ
镏,鎦,镏,líu,liu,2,ㄌㄧㄡ
㧅,㧅,㧅,mù,mu,4,ㄇㄨ
芨,芨,芨,jí,ji,2,ㄐㄧ
䳭,䳭,䳭,jí,ji,2,ㄐㄧ
柴,柴,柴,chái,chai,2,ㄔㄞ
䕋,䕋,䕋,chǎng,chang,3,ㄔㄤ
㕟,㕟,㕟,kùi,kui,4,ㄎㄨㄟ
㷩,㷩,㷩,㷩,㷩,,
婓,婓,婓,fēi,fei,1,ㄈㄟ
秙,秙,秙,kù,ku,4,ㄎㄨ
撒,撒,撒,sā,sa,1,ㄙㄚ
䞈,䞈,䞈,gǔi,gui,3,ㄍㄨㄟ
鴻,鴻,鸿,hóng,hong,2,ㄏㄨㄥ
櫼,櫼,櫼,jiān,jian,1,ㄐㄧㄢ
壳,殼,壳,ké,ke,2,ㄎㄜ
壕,壕,壕,háo,hao,2,ㄏㄠ
魴,魴,鲂,fáng,fang,2,ㄈㄤ
氄,氄,氄,rǒng,rong,3,ㄖㄨㄥ
艅,艅,艅,yú,yu,2,ㄩ
䀗,䀗,䀗,jué,jue,2,ㄐㄩㄝ
㥤,㥤,㥤,㥤,㥤,,
蔝,蔝,蔝,mǐ,mi,3,ㄇㄧ
膙,膙,膙,jiǎng,jiang,3,ㄐㄧㄤ
檁,檁,檩,lǐn,lin,3,ㄌㄧㄣ
