hanzi,trad,simp,pinyin,toneless,tone,zhuyin
閒,閒,闲,xián,xian,2,ㄒㄧㄢ
主,主,主,zhǔ,zhu,3,ㄓㄨ
孉,孉,孉,quán,quan,2,ㄑㄩㄢ
店,店,店,diàn,dian,4,ㄉㄧㄢ
厠,厠,厠,cè,ce,4,ㄘㄜ
銺,銺,銺,zàng,zang,4,ㄗㄤ
莐,莐,莐,chén,chen,2,ㄔㄣ
扷,扷,扷,ào,ao,4,ㄠ
蠞,蠞,蠞,jié,jie,2,ㄐㄧㄝ
腑,腑,腑,fǔ,fu,3,ㄈㄨ
彭,彭,彭,péng,peng,2,ㄆㄥ
逛,逛,逛,guàng,guang,4,ㄍㄨㄤ
褈,褈,褈,chóng,chong,2,ㄔㄨㄥ
愩,愩,愩,gōng,gong,1,ㄍㄨㄥ
㽕,㽕,㽕,yóu,you,2,ㄧㄡ
颛,顓,颛,zhuān,zhuan,1,ㄓㄨㄢ
苮,苮,苮,xiān,xian,1,ㄒㄧㄢ
齦,齦,龈,kěn,ken,3,ㄎㄣ
镡,鐔,镡,tán,tan,2,ㄊㄢ
䠷,䠷,䠷,tiǎo,tiao,3,ㄊㄧㄠ
䋜,䋜,䋜,qìng,qing,4,ㄑㄧㄥ
河,河,河,hé,he,2,ㄏㄜ
㼰,㼰,㼰,é,e,2,ㄜ
惨,慘,惨,cǎn,can,3,ㄘㄢ
耉,耉,耉,gǒu,gou,3,ㄍㄡ
罷,罷,罢,bà,ba,4,ㄅㄚ
㐋,㐋,㐋,㐋,㐋,,
駚,駚,駚,yǎng,yang,3,ㄧㄤ
皕,皕,皕,bī,bi,1,ㄅㄧ
忯,忯,忯,qí,qi,2,ㄑㄧ
鋞,鋞,鋞,xíng,xing,2,ㄒㄧㄥ
娮,娮,娮,yán,yan,2,ㄧㄢ
癷,癷,癷,癷,癷,,
覟,覟,覟,zhì,zhi,4,ㄓ
洖,洖,洖,wú,wu,2,ㄨ
䥺,釾,䥺,yé,ye,2,ㄧㄝ
际,際,际,jì,ji,4,ㄐㄧ
滯,滯,滞,zhì,zhi,4,ㄓ
橳,橳,橳,橳,橳,,
燙,燙,烫,tàng,tang,4,ㄊㄤ
撞,撞,撞,zhuàng,zhuang,4,ㄓㄨㄤ
眀,眀,眀,míng,ming,2,ㄇㄧㄥ
諘,諘,諘,biǎo,biao,3,ㄅㄧㄠ
潐,潐,潐,jiào,jiao,4,ㄐㄧㄠ
忠,忠,忠,zhōng,zhong,1,ㄓㄨㄥ
矵,矵,矵,qì,qi,4,ㄑㄧ
又,又,又,yòu,you,4,ㄧㄡ
㜩,㜩,㜩,ào,ao,4,ㄠ
䱊,䱊,䱊,mǐ,mi,3,ㄇㄧ
庥,庥,庥,xīu,xiu,1,ㄒㄧㄡ
䨌,䨌,䨌,báo,bao,2,ㄅㄠ
挅,挅,挅,duǒ,duo,3,ㄉㄨㄛ
恌,恌,恌,tiāo,tiao,1,ㄊㄧㄠ
巚,巚,巚,yǎn,yan,3,ㄧㄢ
娃,娃,娃,wá,wa,2,ㄨㄚ
㮇,㮇,㮇,tiàn,tian,4,ㄊㄧㄢ
㓜,㓜,㓜,yòu,you,4,ㄧㄡ
㺌,㺌,㺌,xiàn,xian,4,ㄒㄧㄢ
㕦,㕦,㕦,huà,hua,4,ㄏㄨㄚ
粞,粞,粞,xī,xi,1,ㄒㄧ
葬,葬,葬,zàng,zang,4,ㄗㄤ
態,態,态,tài,tai,4,ㄊㄞ
䡏,䡏,䡏,hóng,hong,2,ㄏㄨㄥ
輙,輙,輙,zhé,zhe,2,ㄓㄜ
戇,戇,戆,gàng,gang,4,ㄍㄤ
甦,甦,甦,sū,su,1,ㄙㄨ
躅,躅,躅,zhú,zhu,2,ㄓㄨ
䗑,䗑,䗑,yì,yi,4,ㄧ
嬆,嬆,嬆,xī,xi,1,ㄒㄧ
蛂,蛂,蛂,biě,bie,3,ㄅㄧㄝ
匏,匏,匏,páo,pao,2,ㄆㄠ
䁺,䁺,䁺,shì,shi,4,ㄕ
懶,懶,懒,lǎn,lan,3,ㄌㄢ
䬣,䬣,䬣,qì,qi,4,ㄑㄧ
裊,裊,袅,niǎo,niao,3,ㄋㄧㄠ
岉,岉,岉,wù,wu,4,ㄨ
鸪,鴣,鸪,gū,gu,1,ㄍㄨ
籆,籆,籆,yuè,yue,4,ㄩㄝ
䊲,䊲,䊲,chǎn,chan,3,ㄔㄢ
㥋,㥋,㥋,㥋,㥋,,
䰂,䰂,䰂,cài,cai,4,ㄘㄞ
糸,糸,纟,mì,mi,4,ㄇㄧ
㝢,㝢,㝢,yǔ,yu,3,ㄩ
埜,埜,埜,yě,ye,3,ㄧㄝ
綕,綕,綕,zhī,zhi,1,ㄓ
䈫,䈫,䈫,nà,na,4,ㄋㄚ
㬘,㬘,㬘,sù,su,4,ㄙㄨ
啀,啀,啀,ái,ai,2,ㄞ
犟,犟,犟,jiàng,jiang,4,ㄐㄧㄤ
菍,菍,菍,niè,nie,4,ㄋㄧㄝ
嚒,嚒,嚒,嚒,嚒,,
哄,哄,哄,hōng,hong,1,ㄏㄨㄥ
䑡,䑡,䑡,䑡,䑡,,
壚,壚,垆,lú,lu,2,ㄌㄨ
㳿,㳿,㳿,xiè,xie,4,ㄒㄧㄝ
临,臨,临,lín,lin,2,ㄌㄧㄣ
觤,觤,觤,gǔi,gui,3,ㄍㄨㄟ
㺀,㺀,㺀,náo,nao,2,ㄋㄠ
囜,囜,囜,nín,nin,2,ㄋㄧㄣ
稦,稦,稦,yī,yi,1,ㄧ
氺,氺,氺,氺,氺,,
䳁,䳁,䳁,bá,ba,2,ㄅㄚ
淁,淁,淁,qiè,qie,4,ㄑㄧㄝ
诫,誡,诫,jiè,jie,4,ㄐㄧㄝ
曟,曟,曟,chén,chen,2,ㄔㄣ
缁,緇,缁,zī,zi,1,ㄗ
㻵,㻵,㻵,zhàn,zhan,4,ㄓㄢ
侻,侻,侻,tuō,tuo,1,ㄊㄨㄛ
䠿,䠿,䠿,wài,wai,4,ㄨㄞ
䉧,䉧,䉧,líu,liu,2,ㄌㄧㄡ
鞌,鞌,鞌,ān,an,1,ㄢ
泐,泐,泐,lè,le,4,ㄌㄜ
噡,噡,噡,dān,dan,1,ㄉㄢ
䢮,䢮,䢮,lèi,lei,4,ㄌㄟ
䭍,䭍,䭍,hú,hu,2,ㄏㄨ
撵,攆,撵,niǎn,nian,3,ㄋㄧㄢ
茵,茵,茵,yīn,yin,1,ㄧㄣ
奕,奕,奕,yì,yi,4,ㄧ
䊫,䊫,䊫,cǔi,cui,3,ㄘㄨㄟ
柦,柦,柦,dàn,dan,4,ㄉㄢ
帑,帑,帑,tǎng,tang,3,ㄊㄤ
五,五,五,wǔ,wu,3,ㄨ
榩,榩,榩,qián,qian,2,ㄑㄧㄢ
妇,婦,妇,fù,fu,4,ㄈㄨ
妯,妯,妯,zhóu,zhou,2,ㄓㄡ
礶,礶,礶,guàn,guan,4,ㄍㄨㄢ
藠,藠,藠,xiào,xiao,4,ㄒㄧㄠ
篱,籬,篱,lí,li,2,ㄌㄧ
仸,仸,仸,yǎo,yao,3,ㄧㄠ
捜,捜,捜,sōu,sou,1,ㄙㄡ
㼈,㼈,㼈,luó,luo,2,ㄌㄨㄛ
楨,楨,桢,zhēn,zhen,1,ㄓㄣ
躕,躕,蹰,chú,chu,2,ㄔㄨ
䭈,䭈,䭈,jiàn,jian,4,ㄐㄧㄢ
鄡,鄡,鄡,qiāo,qiao,1,ㄑㄧㄠ
䭸,䭸,䭸,fù,fu,4,ㄈㄨ
甕,甕,瓮,wèng,weng,4,ㄨㄥ
愋,愋,愋,xuān,xuan,1,ㄒㄩㄢ
嫩,嫩,嫩,nèn,nen,4,ㄋㄣ
鷦,鷦,鹪,jiāo,jiao,1,ㄐㄧㄠ
柊,柊,柊,zhōng,zhong,1,ㄓㄨㄥ
䭠,䭠,䭠,jiǎn,jian,3,ㄐㄧㄢ
試,試,试,shì,shi,4,ㄕ
㫢,㫢,㫢,qù,qu,4,ㄑㄩ
岿,巋,岿,kūi,kui,1,ㄎㄨㄟ
隋,隋,隋,súi,sui,2,ㄙㄨㄟ
䵭,䵭,䵭,zhè,zhe,4,ㄓㄜ
㟏,㟏,㟏,hán,han,2,ㄏㄢ
锇,鋨,锇,tiě,tie,3,ㄊㄧㄝ
玳,玳,玳,dài,dai,4,ㄉㄞ
騳,騳,騳,dú,du,2,ㄉㄨ
電,電,电,diàn,dian,4,ㄉㄧㄢ
鼴,鼴,鼹,yǎn,yan,3,ㄧㄢ
䜐,䜐,䜐,䜐,䜐,,
鐉,鐉,鐉,quān,quan,1,ㄑㄩㄢ
口,口,口,kǒu,kou,3,ㄎㄡ
礍,礍,礍,kě,ke,3,ㄎㄜ
駖,駖,駖,líng,ling,2,ㄌㄧㄥ
綩,綩,綩,wǎn,wan,3,ㄨㄢ
鍎,鍎,鍎,tú,tu,2,ㄊㄨ
㻈,㻈,㻈,㻈,㻈,,
琚,琚,琚,jū,ju,1,ㄐㄩ
骆,駱,骆,luò,luo,4,ㄌㄨㄛ
黱,黱,黱,dài,dai,4,ㄉㄞ
㦄,㦄,㦄,má,ma,2,ㄇㄚ
帩,帩,帩,qiào,qiao,4,ㄑㄧㄠ
齙,齙,龅,páo,pao,2,ㄆㄠ
譸,譸,诪,zhōu,zhou,1,ㄓㄡ
㭔,㭔,㭔,lú,lu,2,ㄌㄨ
僎,僎,僎,zhuàn,zhuan,4,ㄓㄨㄢ
㫵,㫵,㫵,㫵,㫵,,
俛,俛,俛,fǔ,fu,3,ㄈㄨ
涃,涃,涃,kùn,kun,4,ㄎㄨㄣ
狥,狥,狥,xùn,xun,4,ㄒㄩㄣ
炗,炗,炗,guāng,guang,1,ㄍㄨㄤ
䤩,䤩,䤩,chá,cha,2,ㄔㄚ
芘,芘,芘,pí,pi,2,ㄆㄧ
絕,絕,绝,jué,jue,2,ㄐㄩㄝ
㚅,㚅,㚅,lóng,long,2,ㄌㄨㄥ
硶,硶,硶,chěn,chen,3,ㄔㄣ
萴,萴,萴,zé,ze,2,ㄗㄜ
嶅,嶅,嶅,áo,ao,2,ㄠ
傂,傂,傂,zhì,zhi,4,ㄓ
躇,躇,躇,chú,chu,2,ㄔㄨ
䯮,䯮,䯮,nái,nai,2,ㄋㄞ
蕼,蕼,蕼,sì,si,4,ㄙ
䬃,䬃,䬃,sà,sa,4,ㄙㄚ
䦀,䦀,䦀,䦀,䦀,,
䇝,䇝,䇝,䇝,䇝,,
峉,峉,峉,ē,e,1,ㄜ
䵜,䵜,䵜,nǒng,nong,3,ㄋㄨㄥ
懎,懎,懎,sè,se,4,ㄙㄜ
盝,盝,盝,lù,lu,4,ㄌㄨ
綱,綱,纲,gāng,gang,1,ㄍㄤ
夏,夏,夏,xià,xia,4,ㄒㄧㄚ
鬵,鬵,鬵,qián,qian,2,ㄑㄧㄢ
猍,猍,猍,lái,lai,2,ㄌㄞ
哴,哴,哴,liàng,liang,4,ㄌㄧㄤ
䡣,䡣,䡣,䡣,䡣,,
麩,麩,麸,fū,fu,1,ㄈㄨ
慇,慇,慇,yīn,yin,1,ㄧㄣ
㡹,㡹,㡹,cì,ci,4,ㄘ
坈,坈,坈,kēng,keng,1,ㄎㄥ
觺,觺,觺,yí,yi,2,ㄧ
䡤,䡤,䡤,䡤,䡤,,
㲋,㲋,㲋,chuò,chuo,4,ㄔㄨㄛ
閃,閃,闪,shǎn,shan,3,ㄕㄢ
㼐,㼐,㼐,pián,pian,2,ㄆㄧㄢ
吀,吀,吀,miē,mie,1,ㄇㄧㄝ
繏,繏,繏,xuàn,xuan,4,ㄒㄩㄢ
蛟,蛟,蛟,jiāo,jiao,1,ㄐㄧㄠ
匡,匡,匡,kuāng,kuang,1,ㄎㄨㄤ
珓,珓,珓,jiào,jiao,4,ㄐㄧㄠ
䙾,䙾,䙾,䙾,䙾,,
廪,廩,廪,lǐn,lin,3,ㄌㄧㄣ
釥,釥,釥,qiǎo,qiao,3,ㄑㄧㄠ
㱨,㱨,㱨,liàn,lian,4,ㄌㄧㄢ
䉓,䉓,䉓,léi,lei,2,ㄌㄟ
咷,咷,咷,táo,tao,2,ㄊㄠ
䉇,䉇,䉇,䉇,䉇,,
輜,輜,辎,zī,zi,1,ㄗ
㚂,㚂,㚂,ráng,rang,2,ㄖㄤ
晶,晶,晶,jīng,jing,1,ㄐㄧㄥ
靌,靌,靌,bǎo,bao,3,ㄅㄠ
迉,迉,迉,qí,qi,2,ㄑㄧ
謖,謖,谡,sù,su,4,ㄙㄨ
蹛,蹛,蹛,dài,dai,4,ㄉㄞ
鴾,鴾,鴾,móu,mou,2,ㄇㄡ
䨿,䨿,䨿,qián,qian,2,ㄑㄧㄢ
檆,檆,檆,shān,shan,1,ㄕㄢ
绀,紺,绀,gàn,gan,4,ㄍㄢ
浤,浤,浤,hóng,hong,2,ㄏㄨㄥ
鄴,鄴,邺,yè,ye,4,ㄧㄝ
䐐,䐐,䐐,䐐,䐐,,
㦫,㦫,㦫,㦫,㦫,,
媊,媊,媊,qián,qian,2,ㄑㄧㄢ
癿,癿,癿,qié,qie,2,ㄑㄧㄝ
鞋,鞋,鞋,xié,xie,2,ㄒㄧㄝ
蜍,蜍,蜍,chú,chu,2,ㄔㄨ
诠,詮,诠,quán,quan,2,ㄑㄩㄢ
梋,梋,梋,xuān,xuan,1,ㄒㄩㄢ
㹻,㹻,㹻,㹻,㹻,,
䨊,䨊,䨊,䨊,䨊,,
跡,跡,迹,jī,ji,1,ㄐㄧ
骪,骪,骪,wěi,wei,3,ㄨㄟ
䙭,䙭,䙭,䙭,䙭,,
蛋,蛋,蛋,dàn,dan,4,ㄉㄢ
篧,篧,篧,zhuó,zhuo,2,ㄓㄨㄛ
妴,妴,妴,yuǎn,yuan,3,ㄩㄢ
喔,喔,喔,ō,o,1,ㄛ
㷨,㷨,㷨,㷨,㷨,,
当,當,当,dāng,dang,1,ㄉㄤ
躰,躰,躰,tǐ,ti,3,ㄊㄧ
谋,謀,谋,móu,mou,2,ㄇㄡ
㛪,㛪,㛪,yàn,yan,4,ㄧㄢ
㪣,㪣,㪣,qiào,qiao,4,ㄑㄧㄠ
䱬,䱬,䱬,䱬,䱬,,
哉,哉,哉,zāi,zai,1,ㄗㄞ
匰,匰,匰,dān,dan,1,ㄉㄢ
嶝,嶝,嶝,dèng,deng,4,ㄉㄥ
掞,掞,掞,shàn,shan,4,ㄕㄢ
徖,徖,徖,cóng,cong,2,ㄘㄨㄥ
犁,犁,犁,lí,li,2,ㄌㄧ
昉,昉,昉,fǎng,fang,3,ㄈㄤ
節,節,节,jié,jie,2,ㄐㄧㄝ
䗋,䗋,䗋,móu,mou,2,ㄇㄡ
鵣,鵣,鵣,lài,lai,4,ㄌㄞ
潛,潛,潜,qián,qian,2,ㄑㄧㄢ
旝,旝,旝,guài,guai,4,ㄍㄨㄞ
櫑,櫑,櫑,lěi,lei,3,ㄌㄟ
袻,袻,袻,ér,er,2,ㄦ
耰,耰,耰,yōu,you,1,ㄧㄡ
㥃,㥃,㥃,mèn,men,4,ㄇㄣ
紛,紛,纷,fēn,fen,1,ㄈㄣ
鴽,鴽,鴽,rú,ru,2,ㄖㄨ
饅,饅,馒,mán,man,2,ㄇㄢ
鿊,鿊,鿊,鿊,鿊,,
㳵,㳵,㳵,jì,ji,4,ㄐㄧ
鈽,鈽,钸,bù,bu,4,ㄅㄨ
糂,糂,糂,sǎn,san,3,ㄙㄢ
橢,橢,椭,tuǒ,tuo,3,ㄊㄨㄛ
螛,螛,螛,hé,he,2,ㄏㄜ
枧,梘,枧,jiàn,jian,4,ㄐㄧㄢ
璯,璯,璯,hùi,hui,4,ㄏㄨㄟ
嚔,嚔,嚔,tì,ti,4,ㄊㄧ
䦨,䦨,䦨,lán,lan,2,ㄌㄢ
䦺,䦺,䦺,䦺,䦺,,
刕,刕,刕,lí,li,2,ㄌㄧ
略,略,略,lüè,lüe,4,ㄌㄩㄝ
㠚,㠚,㠚,dùi,dui,4,ㄉㄨㄟ
䴺,䴺,䴺,bù,bu,4,ㄅㄨ
䘐,䘐,䘐,nǜ,nü,4,ㄋㄩ
経,経,経,jīng,jing,1,ㄐㄧㄥ
擝,擝,擝,擝,擝,,
顩,顩,顩,qiān,qian,1,ㄑㄧㄢ
黚,黚,黚,qián,qian,2,ㄑㄧㄢ
碌,碌,碌,lù,lu,4,ㄌㄨ
䛟,䛟,䛟,jiá,jia,2,ㄐㄧㄚ
鲦,鰷,鲦,tiáo,tiao,2,ㄊㄧㄠ
曥,曥,曥,lú,lu,2,ㄌㄨ
䮖,䮖,䮖,䮖,䮖,,
䥸,䥸,䥸,mí,mi,2,ㄇㄧ
駴,駴,駴,xiè,xie,4,ㄒㄧㄝ
撔,撔,撔,hèng,heng,4,ㄏㄥ
鶳,鶳,鶳,shī,shi,1,ㄕ
旍,旍,旍,jīng,jing,1,ㄐㄧㄥ
綤,綤,綤,shào,shao,4,ㄕㄠ
屶,屶,屶,屶,屶,,
䋯,䋯,䋯,qǐ,qi,3,ㄑㄧ
齡,齡,龄,líng,ling,2,ㄌㄧㄥ
慸,慸,慸,dì,di,4,ㄉㄧ
绷,綳,绷,bēng,beng,1,ㄅㄥ
誈,誈,誈,wú,wu,2,ㄨ
寫,寫,写,xiě,xie,3,ㄒㄧㄝ
婥,婥,婥,chuò,chuo,4,ㄔㄨㄛ
屸,屸,屸,lóng,long,2,ㄌㄨㄥ
蟛,蟛,蟛,péng,peng,2,ㄆㄥ
㡾,㡾,㡾,xiàn,xian,4,ㄒㄧㄢ
曈,曈,曈,tóng,tong,2,ㄊㄨㄥ
雭,雭,雭,sè,se,4,ㄙㄜ
咆,咆,咆,páo,pao,2,ㄆㄠ
䣹,䣹,䣹,fá,fa,2,ㄈㄚ
剁,剁,剁,duò,duo,4,ㄉㄨㄛ
鮅,鮅,鮅,bì,bi,4,ㄅㄧ
镺,镺,镺,ǎo,ao,3,ㄠ
蜡,蠟,蜡,là,la,4,ㄌㄚ
㝼,㝼,㝼,㝼,㝼,,
恁,恁,恁,rèn,ren,4,ㄖㄣ
㦛,㦛,㦛,yú,yu,2,ㄩ
瘺,瘺,瘘,lòu,lou,4,ㄌㄡ
伝,伝,伝,chuán,chuan,2,ㄔㄨㄢ
鼢,鼢,鼢,fén,fen,2,ㄈㄣ
踘,踘,踘,jú,ju,2,ㄐㄩ
撬,撬,撬,qiào,qiao,4,ㄑㄧㄠ
拊,拊,拊,fǔ,fu,3,ㄈㄨ
摊,攤,摊,tān,tan,1,ㄊㄢ
暅,暅,暅,xuǎn,xuan,3,ㄒㄩㄢ
懴,懴,懴,chàn,chan,4,ㄔㄢ
㢃,㢃,㢃,láng,lang,2,ㄌㄤ
㥗,㥗,㥗,㥗,㥗,,
橄,橄,橄,gǎn,gan,3,ㄍㄢ
雌,雌,雌,cí,ci,2,ㄘ
穟,穟,穟,sùi,sui,4,ㄙㄨㄟ
核,核,核,hé,he,2,ㄏㄜ
萍,萍,萍,píng,ping,2,ㄆㄧㄥ
㫝,㫝,㫝,㫝,㫝,,
嫢,嫢,嫢,gūi,gui,1,ㄍㄨㄟ
芷,芷,芷,zhǐ,zhi,3,ㄓ
飍,飍,飍,biāo,biao,1,ㄅㄧㄠ
檅,檅,檅,sùi,sui,4,ㄙㄨㄟ
集,集,集,jí,ji,2,ㄐㄧ
獭,獺,獭,tà,ta,4,ㄊㄚ
刟,刟,刟,jū,ju,1,ㄐㄩ
野,野,野,yě,ye,3,ㄧㄝ
了,了,了,le,le,5,ㄌㄜ
檣,檣,樯,qiáng,qiang,2,ㄑㄧㄤ
䪤,䪤,䪤,fán,fan,2,ㄈㄢ
䆽,䆽,䆽,jù,ju,4,ㄐㄩ
硦,硦,硦,lòng,long,4,ㄌㄨㄥ
㝟,㝟,㝟,máo,mao,2,ㄇㄠ
䩘,䩘,䩘,dì,di,4,ㄉㄧ
䇫,䇫,䇫,䇫,䇫,,
靊,靊,靊,fēng,feng,1,ㄈㄥ
䊟,䊟,䊟,mén,men,2,ㄇㄣ
采,采,采,cǎi,cai,3,ㄘㄞ
硠,硠,硠,lǎng,lang,3,ㄌㄤ
䬯,䬯,䬯,nián,nian,2,ㄋㄧㄢ
㽔,㽔,㽔,㽔,㽔,,
犍,犍,犍,jiān,jian,1,ㄐㄧㄢ
鰄,鰄,鰄,wēi,wei,1,ㄨㄟ
苸,苸,苸,hū,hu,1,ㄏㄨ
檮,檮,梼,táo,tao,2,ㄊㄠ
宏,宏,宏,hóng,hong,2,ㄏㄨㄥ
䢚,䢚,䢚,gòng,gong,4,ㄍㄨㄥ
㒳,㒳,㒳,liǎng,liang,3,ㄌㄧㄤ
鵋,鵋,鵋,jì,ji,4,ㄐㄧ
橻,橻,橻,橻,橻,,
忹,忹,忹,wǎng,wang,3,ㄨㄤ
罯,罯,罯,ǎn,an,3,ㄢ
舣,艤,舣,yǐ,yi,3,ㄧ
元,元,元,yuán,yuan,2,ㄩㄢ
䱾,䱾,䱾,lóu,lou,2,ㄌㄡ
蕛,蕛,蕛,téng,teng,2,ㄊㄥ
䂛,䂛,䂛,yú,yu,2,ㄩ
譚,譚,谭,tán,tan,2,ㄊㄢ
旴,旴,旴,xū,xu,1,ㄒㄩ
霎,霎,霎,shà,sha,4,ㄕㄚ
鴉,鴉,鸦,yā,ya,1,ㄧㄚ
鴟,鴟,鸱,chī,chi,1,ㄔ
猁,猁,猁,lì,li,4,ㄌㄧ
䃚,䃚,䃚,cù,cu,4,ㄘㄨ
隯,隯,隯,dǎo,dao,3,ㄉㄠ
㖶,㖶,㖶,yè,ye,4,ㄧㄝ
㥭,㥭,㥭,tài,tai,4,ㄊㄞ
䭏,䭏,䭏,䭏,䭏,,
聱,聱,聱,áo,ao,2,ㄠ
鳉,鱂,鳉,jiāng,jiang,1,ㄐㄧㄤ
䜺,䜺,䜺,cè,ce,4,ㄘㄜ
胔,胔,胔,zì,zi,4,ㄗ
䁚,䁚,䁚,sǔn,sun,3,ㄙㄨㄣ
筴,筴,筴,cè,ce,4,ㄘㄜ
齪,齪,龊,chuò,chuo,4,ㄔㄨㄛ
勛,勛,勋,xūn,xun,1,ㄒㄩㄣ
撦,撦,撦,chě,che,3,ㄔㄜ
糯,糯,糯,nuò,nuo,4,ㄋㄨㄛ
乨,乨,乨,shǐ,shi,3,ㄕ
䬖,䬖,䬖,héng,heng,2,ㄏㄥ
輬,輬,辌,liáng,liang,2,ㄌㄧㄤ
撌,撌,撌,kùi,kui,4,ㄎㄨㄟ
䶫,䶫,䶫,kǎn,kan,3,ㄎㄢ
塴,塴,塴,bèng,beng,4,ㄅㄥ
裔,裔,裔,yì,yi,4,ㄧ
蛫,蛫,蛫,gǔi,gui,3,ㄍㄨㄟ
漷,漷,漷,kuò,kuo,4,ㄎㄨㄛ
慮,慮,虑,lǜ,lü,4,ㄌㄩ
燸,燸,燸,rú,ru,2,ㄖㄨ
禒,禒,禒,xiǎn,xian,3,ㄒㄧㄢ
蒔,蒔,莳,shí,shi,2,ㄕ
㨨,㨨,㨨,lìu,liu,4,ㄌㄧㄡ
媦,媦,媦,wèi,wei,4,ㄨㄟ
榟,榟,榟,zǐ,zi,3,ㄗ
鸾,鸞,鸾,luán,luan,2,ㄌㄨㄢ
蒨,蒨,蒨,qiàn,qian,4,ㄑㄧㄢ
㹄,㹄,㹄,jì,ji,4,ㄐㄧ
櫠,櫠,櫠,fèi,fei,4,ㄈㄟ
䳄,䳄,䳄,cí,ci,2,ㄘ
崸,崸,崸,dùn,dun,4,ㄉㄨㄣ
爱,愛,爱,ài,ai,4,ㄞ
峮,峮,峮,qūn,qun,1,ㄑㄩㄣ
螚,螚,螚,nài,nai,4,ㄋㄞ
缛,縟,缛,rù,ru,4,ㄖㄨ
㤻,㤻,㤻,㤻,㤻,,
駙,駙,驸,fù,fu,4,ㄈㄨ
朿,朿,朿,cì,ci,4,ㄘ
镹,镹,镹,jǐu,jiu,3,ㄐㄧㄡ
抳,抳,抳,nǐ,ni,3,ㄋㄧ
雏,雛,雏,chú,chu,2,ㄔㄨ
剺,剺,剺,lí,li,2,ㄌㄧ
䡱,䡱,䡱,zhuǎn,zhuan,3,ㄓㄨㄢ
毌,毌,毌,guàn,guan,4,ㄍㄨㄢ
纆,纆,纆,mò,mo,4,ㄇㄛ
惗,惗,惗,niē,nie,1,ㄋㄧㄝ
烠,烠,烠,hǔi,hui,3,ㄏㄨㄟ
䓝,䓝,䓝,méng,meng,2,ㄇㄥ
飛,飛,飞,fēi,fei,1,ㄈㄟ
窰,窰,窰,yáo,yao,2,ㄧㄠ
龆,齠,龆,tiáo,tiao,2,ㄊㄧㄠ
潚,潚,潚,xiāo,xiao,1,ㄒㄧㄠ
㺉,㺉,㺉,hù,hu,4,ㄏㄨ
挱,挱,挱,suō,suo,1,ㄙㄨㄛ
洼,窪,洼,wā,wa,1,ㄨㄚ
蚄,蚄,蚄,fāng,fang,1,ㄈㄤ
拴,拴,拴,shuān,shuan,1,ㄕㄨㄢ
戵,戵,戵,qú,qu,2,ㄑㄩ
婉,婉,婉,wǎn,wan,3,ㄨㄢ
䯯,䯯,䯯,䯯,䯯,,
鬮,鬮,阄,jīu,jiu,1,ㄐㄧㄡ
琢,琢,琢,zhuó,zhuo,2,ㄓㄨㄛ
簉,簉,簉,chòu,chou,4,ㄔㄡ
䪮,䪮,䪮,chǒu,chou,3,ㄔㄡ
觝,觝,觝,dǐ,di,3,ㄉㄧ
长,長,长,cháng,chang,2,ㄔㄤ
鉓,鉓,鉓,chì,chi,4,ㄔ
仡,仡,仡,yì,yi,4,ㄧ
阡,阡,阡,qiān,qian,1,ㄑㄧㄢ
焁,焁,焁,焁,焁,,
㫃,㫃,㫃,yǎn,yan,3,ㄧㄢ
䧛,䧛,䧛,bàng,bang,4,ㄅㄤ
遧,遧,遧,zhāng,zhang,1,ㄓㄤ
縻,縻,縻,mí,mi,2,ㄇㄧ
隠,隠,隠,yǐn,yin,3,ㄧㄣ
朖,朖,朖,lǎng,lang,3,ㄌㄤ
䔂,䔂,䔂,zǐ,zi,3,ㄗ
䘟,䘟,䘟,䘟,䘟,,
西,西,西,xī,xi,1,ㄒㄧ
妏,妏,妏,wèn,wen,4,ㄨㄣ
愰,愰,愰,huǎng,huang,3,ㄏㄨㄤ
蹥,蹥,蹥,lián,lian,2,ㄌㄧㄢ
蹷,蹷,蹷,jué,jue,2,ㄐㄩㄝ
鈩,鈩,鈩,鈩,鈩,,
稫,稫,稫,bī,bi,1,ㄅㄧ
臄,臄,臄,jué,jue,2,ㄐㄩㄝ
燬,燬,燬,hǔi,hui,3,ㄏㄨㄟ
銾,銾,銾,gǒng,gong,3,ㄍㄨㄥ
聿,聿,聿,yù,yu,4,ㄩ
䢵,䢵,䢵,yún,yun,2,ㄩㄣ
諙,諙,諙,huài,huai,4,ㄏㄨㄞ
娇,嬌,娇,jiāo,jiao,1,ㄐㄧㄠ
炨,炨,炨,duò,duo,4,ㄉㄨㄛ
㸸,㸸,㸸,hǒu,hou,3,ㄏㄡ
鳍,鰭,鳍,qí,qi,2,ㄑㄧ
蹼,蹼,蹼,pú,pu,2,ㄆㄨ
䌪,䌪,䌪,yán,yan,2,ㄧㄢ
丮,丮,丮,jǐ,ji,3,ㄐㄧ
幢,幢,幢,chuáng,chuang,2,ㄔㄨㄤ
襺,襺,襺,jiǎn,jian,3,ㄐㄧㄢ
毷,毷,毷,mào,mao,4,ㄇㄠ
檚,檚,檚,chǔ,chu,3,ㄔㄨ
盳,盳,盳,máng,mang,2,ㄇㄤ
均,均,均,jūn,jun,1,ㄐㄩㄣ
䍅,䍅,䍅,líng,ling,2,ㄌㄧㄥ
纍,纍,累,léi,lei,2,ㄌㄟ
